numero_stazione,nome_stazione,longitudine,latitudine,cluster,lon_cluster,lat_cluster,cluster_id_nil,cluster_nil
65,Bertarelli,9.187493249627511,45.458586868726165,15,9.182666605192644,45.45935846619887,1,DUOMO
66,Cavour,9.196340516992198,45.47301620256426,41,9.195421449214294,45.471587771245474,1,DUOMO
67,Repubblica,9.19654525393699,45.47908110528522,18,9.198531959966315,45.47925806597348,10,STAZIONE CENTRALE - PONTE SEVESO
68,Rotonda della Besana,9.205446007746632,45.46060474471093,35,9.206360107929576,45.460416549801586,4,GUASTALLA
69,S. Nazaro in Brolo,9.192644706048462,45.45830220922638,23,9.19269350230949,45.45875343246146,1,DUOMO
70,Fatebenefratelli,9.190114222786791,45.47315008857085,26,9.189086752487784,45.474128523127675,2,BRERA
71,Medaglie d'Oro 2,9.203000636454073,45.451848460868376,14,9.202723290182115,45.45147699043599,27,PTA ROMANA
72,Cardinal Ferrari,9.19276821062689,45.456708930328986,23,9.19269350230949,45.45875343246146,1,DUOMO
73,Majno - Baretti,9.20491361564008,45.47149759930991,4,9.204764432866272,45.474531291857176,3,GIARDINI P.TA VENEZIA
74,Dante - San Tomaso,9.184080776626033,45.4670760525911,25,9.1829286402831,45.46866367484173,2,BRERA
75,Cusani,9.18500603358194,45.46874961887305,25,9.1829286402831,45.46866367484173,2,BRERA
76,Mentana,9.181956861288182,45.461778997159065,15,9.182666605192644,45.45935846619887,1,DUOMO
77,Sant'Angelo - P.ta Nuova,9.19180363864132,45.47672771229414,26,9.189086752487784,45.474128523127675,2,BRERA
78,Aquileia,9.163371258439662,45.4608561959434,11,9.16526852231605,45.46275872929673,7,MAGENTA - S. VITTORE
80,Manzoni,9.192389581720269,45.47124117941638,41,9.195421449214294,45.471587771245474,1,DUOMO
81,Universita' Bocconi 2 - Bach,9.190909071789106,45.44827924374422,8,9.19089698148961,45.45000823656744,5,PORTA VIGENTINA - PORTA LODOVICA
82,Dell'Umanitaria,9.200629496375292,45.45815920541402,44,9.199715382654704,45.460830133345866,4,GUASTALLA
