id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
13936;Via Grandi dopo Via Pisa;"700,702";9.251805414498;45.5309442115097;"(45.5309442115097, 9.251805414498)"
13937;Via Di Vittorio fronte Via Martesana;702;9.25577530154837;45.526503637558;"(45.526503637558, 9.25577530154837)"
13938;Via Di Vittorio (inizio carreggiata laterale);702;9.26138580898626;45.5272303617784;"(45.5272303617784, 9.26138580898626)"
13939;Via Di Vittorio (termina carreggiata laterale);702;9.26371506937229;45.5274837016002;"(45.5274837016002, 9.26371506937229)"
13940;Via Cavallotti dopo Via Emilia;"701,702";9.27194685150731;45.5285236989409;"(45.5285236989409, 9.27194685150731)"
13941;"P.za Castello, 19";"701,702";9.27643333865153;45.5290980031417;"(45.5290980031417, 9.27643333865153)"
13942;V.le Dall'Acqua prima di Via Dalla Chiesa;702;9.28281846264104;45.528078789092;"(45.528078789092, 9.28281846264104)"
13962;"Via Risorgimento, 169 prima di Via Zandonai";"702,728";9.21042249368704;45.56724923692;"(45.56724923692, 9.21042249368704)"
13963;"Via Risorgimento, 101 prima di Via L. Da Vinci";702;9.21147201254648;45.5647057195222;"(45.5647057195222, 9.21147201254648)"
13964;"Via Risorgimento, 55 prima di Via Appiani";702;9.21288458245957;45.561637800876;"(45.561637800876, 9.21288458245957)"
13968;"Via Matteotti, 189 prima di Via Leopardi";"700,702";9.22734377697735;45.5388094121918;"(45.5388094121918, 9.22734377697735)"
13969;"Via Matteotti, 83 prima di Via Rovani";"700,702";9.22540203814133;45.536229994008;"(45.536229994008, 9.22540203814133)"
13971;Via F.lli Bandiera dopo Via Risorgimento;"700,713";9.22930783674271;45.5346315639442;"(45.5346315639442, 9.22930783674271)"
13972;Via Piave fronte 14 prima di P.za della Repubblica;"700,713";9.23271711765199;45.5342673161652;"(45.5342673161652, 9.23271711765199)"
13973;V.le Marelli fronte Via Modena;700;9.23084721533536;45.5325789329836;"(45.5325789329836, 9.23084721533536)"
13974;"V.le Marelli, 150 dopo Via Lacerra";700;9.22981795178622;45.5299740696824;"(45.5299740696824, 9.22981795178622)"
13975;"V.le Marelli, 234 prima di Via 24 Maggio";700;9.22928522099716;45.5280636131185;"(45.5280636131185, 9.22928522099716)"
13976;V.le Italia fronte 5 dopo V.le Marelli;700;9.22950690324416;45.524667317654;"(45.524667317654, 9.22950690324416)"
13977;V.le Rimembranze dopo Via Pace;"53,713";9.24060976797956;45.5278728294002;"(45.5278728294002, 9.24060976797956)"
13978;"V.le Rimembranze, 106 dopo Via F.lli di Dio";"53,713";9.24087474509621;45.5236603424458;"(45.5236603424458, 9.24087474509621)"
13979;"Via Crescenzago, 2 dopo Via del Cimitero";"53,713";9.2410876578387;45.5224431031585;"(45.5224431031585, 9.2410876578387)"
13980;"Via Crescenzago, 190 fronte Via Sottocorno";53;9.24274157008589;45.51926444505;"(45.51926444505, 9.24274157008589)"
13981;Via Adriano prima di Via P.Nenni;86;9.24402955360761;45.5163623942878;"(45.5163623942878, 9.24402955360761)"
13982;"Via Adriano, prima di Via Vipiteno";86;9.2453017645554;45.5139215787684;"(45.5139215787684, 9.2453017645554)"
13983;"Via Padova, 344 prima di Via Palmanova";"56,86";9.2542877453112;45.5111520127132;"(45.5111520127132, 9.2542877453112)"
13985;Via C.Marx prima di Via Livorno;53;9.2454282133947;45.522635727513;"(45.522635727513, 9.2454282133947)"
13992;V.le Marelli dopo Via 24 Maggio;700;9.22930460608084;45.5277125382873;"(45.5277125382873, 9.22930460608084)"
13993;"V.le Marelli, 165 dopo Via Cavallotti";700;9.22983716159353;45.5295931571813;"(45.5295931571813, 9.22983716159353)"
13994;"P.za Repubblica, 9 prima di Via Fiorani";700;9.23251700876164;45.5335058137804;"(45.5335058137804, 9.23251700876164)"
13995;"Via Fante d'Italia, 2 dopo Via Cesare da Sesto";"700,713";9.23631471768747;45.5350105090208;"(45.5350105090208, 9.23631471768747)"
13999;"V.le Matteotti, 58 dopo di Via Rovani";700;9.22570033185798;45.5361793968555;"(45.5361793968555, 9.22570033185798)"
14002;"V.le Testi, 128";702;9.22001371095216;45.5395534829248;"(45.5395534829248, 9.22001371095216)"
14005;"Via Risorgimento, 104 dopo Via Mascagni";702;9.21162377581621;45.5646592734915;"(45.5646592734915, 9.21162377581621)"
14006;Via Risorgimento dopo Via Zandonai;"702,728";9.21052699869501;45.567352554571;"(45.567352554571, 9.21052699869501)"
14013;P.za 1 Maggio;700;9.23895600247676;45.5420207332117;"(45.5420207332117, 9.23895600247676)"
14016;Via Marzabotto prima di Via Forl?;700;9.25392114429472;45.5335651465313;"(45.5335651465313, 9.25392114429472)"
14019;"Via Volontari del Sangue, 171 dopo Via Maffi";700;9.2521722063317;45.5294465956286;"(45.5294465956286, 9.2521722063317)"
14021;"Via C.Marx, 370 prima di Via F.lli di Dio";"53,713";9.24739742894917;45.526113179492;"(45.526113179492, 9.24739742894917)"
14022;Via F.lli di Dio prima di Via Livorno;713;9.24887897093147;45.525344886872;"(45.525344886872, 9.24887897093147)"
14023;"Via Livorno, 98";713;9.25063981768717;45.523119135883;"(45.523119135883, 9.25063981768717)"
14024;"Via Livorno, 236";713;9.25035259292137;45.5210400545717;"(45.5210400545717, 9.25035259292137)"
14025;Via Livorno prima di Via Marx;713;9.24590615270957;45.5219399641595;"(45.5219399641595, 9.24590615270957)"
14026;Via Lombardia prima di Via Crescenzago;"53,713";9.24333135792834;45.5201579479615;"(45.5201579479615, 9.24333135792834)"
14028;P.za Hiroshima - Nagasaki (altezza Cimitero);700;9.25829441972937;45.5345409545329;"(45.5345409545329, 9.25829441972937)"
14029;"V.le Matteotti, 216 prima di Via C. Battisti";"700,702";9.22772326308921;45.5388768302884;"(45.5388768302884, 9.22772326308921)"
14030;"V.le Matteotti, 270 prima di Via Risorgimento";"700,702";9.22860261980446;45.5400585243766;"(45.5400585243766, 9.22860261980446)"
14031;"V.le Matteotti, 376 dopo Via L. da Vinci";"700,702";9.22984809285065;45.5416943639918;"(45.5416943639918, 9.22984809285065)"
14032;"V.le Matteotti, 506 prima di Via M.te Grappa";"700,702";9.23180799206851;45.5444613450482;"(45.5444613450482, 9.23180799206851)"
14033;"Via Bellini, 187 dopo V.le F.lli Casiraghi";"700,712";9.23690134307471;45.5463559412036;"(45.5463559412036, 9.23690134307471)"
14035;V.le Gramsci dopo Via M.te Grappa;"700,712";9.23885173820847;45.5421421300793;"(45.5421421300793, 9.23885173820847)"
14036;Via Bellini prima di Via Boccaccio;700;9.23964535513443;45.5454771389605;"(45.5454771389605, 9.23964535513443)"
14037;Via Bellini prima di V.le F.lli Casiraghi;700;9.23686973466877;45.5464980227511;"(45.5464980227511, 9.23686973466877)"
14038;"V.le Matteotti, 425 dopo Via F.lli Picardi";"700,702";9.23072694977243;45.5434030897592;"(45.5434030897592, 9.23072694977243)"
14039;"Via Matteotti, 383 prima di Via L. da Vinci";"700,702";9.22951398582057;45.5417418754631;"(45.5417418754631, 9.22951398582057)"
14040;"Via Matteotti, 325 prima di Via Sardegna";"700,702";9.22833612163465;45.5401464013616;"(45.5401464013616, 9.22833612163465)"
14041;Via Lombardia dopo Via Sottocorno;"53,713";9.24346358991749;45.5200549929333;"(45.5200549929333, 9.24346358991749)"
14042;Via Marx prima di Via Livorno;"53,713";9.24525521614268;45.5218756638595;"(45.5218756638595, 9.24525521614268)"
14043;Via Livorno fronte 276;713;9.24967201443428;45.5207976888221;"(45.5207976888221, 9.24967201443428)"
14044;"Via Livorno, 89";713;9.25115023980685;45.5220905870278;"(45.5220905870278, 9.25115023980685)"
14045;Via Livorno fronte 32 prima di Via F.lli di Dio;713;9.25030110866429;45.5248889021132;"(45.5248889021132, 9.25030110866429)"
14046;Via Marx dopo Via F.lli di Dio;"53,713";9.24778976755224;45.5255891064419;"(45.5255891064419, 9.24778976755224)"
14048;"Via Volontari del Sangue, 202 prima di Via Maffi";700;9.25238052519971;45.5294956412394;"(45.5294956412394, 9.25238052519971)"
14058;Via Caduti della Libert? prima di Via C. Battisti;705;9.17232648186395;45.543346603273;"(45.543346603273, 9.17232648186395)"
14062;"Via 24 Maggio, 38 prima di Via Arno";705;9.1605933067786;45.548968225279;"(45.548968225279, 9.1605933067786)"
14071;V.le Cooperazione prima di V.le Buffoli;727;9.19325787062341;45.5527754381189;"(45.5527754381189, 9.19325787062341)"
14072;V.le Cooperazione dopo Via Sormani;727;9.18756474343173;45.5515467854006;"(45.5515467854006, 9.18756474343173)"
14073;Via 25 Aprile angolo Via Piave;727;9.21003852232541;45.5570429579148;"(45.5570429579148, 9.21003852232541)"
14075;Via Cosenz dopo Via Bovisasca;"82,92";9.16012876438496;45.5065115263532;"(45.5065115263532, 9.16012876438496)"
14076;Via Sammartini fronte 10 prima di Via Lunigiana;87;9.2079260708421;45.4913265395061;"(45.4913265395061, 9.2079260708421)"
14078;V.le Cooperazione dopo V.le Buffoli;727;9.1929531622904;45.5528201286451;"(45.5528201286451, 9.1929531622904)"
